c,cond
0.01,2561883.045892736
0.01183673469387755,3890071.398824819
0.013673469387755103,1972238.064928205
0.015510204081632653,1064491.5542325315
0.017346938775510204,1260160.3121869126
0.019183673469387756,974037.1069945344
0.02102040816326531,2950993.896768104
0.02285714285714286,48206063.45673719
0.02469387755102041,7703954.149820818
0.026530612244897958,5319141.814469262
0.02836734693877551,1399438.3684247243
0.030204081632653063,502368.91346772714
0.032040816326530615,431806.1142083336
0.03387755102040817,1606842.7316530955
0.03571428571428572,639589.95012869
0.037551020408163265,303208.27472637634
0.03938775510204082,225818.0054285008
0.04122448979591837,222157.45856287598
0.04306122448979592,228017.38954726234
0.04489795918367347,266079.11308055127
0.046734693877551026,347953.109817444
0.04857142857142858,569794.1960695083
0.05040816326530613,2141789.5144048966
0.052244897959183675,1108905.902351847
0.05408163265306123,437698.63828051585
0.05591836734693878,363476.19732460397
0.05775510204081633,419101.32610731653
0.059591836734693884,401652.55963868723
0.06142857142857144,310652.3665068124
0.06326530612244897,216907.40809785316
0.06510204081632653,154041.5854017762
0.06693877551020408,120100.1186771051
0.06877551020408164,114696.33799379219
0.07061224489795918,132522.01478949524
0.07244897959183674,165479.2822004681
0.07428571428571429,217017.92478412858
0.07612244897959183,297607.59434378974
0.07795918367346939,426914.8526407615
0.07979591836734694,645306.4231798457
0.08163265306122448,1067710.482758197
0.08346938775510204,2320134.4900095565
0.08530612244897959,24099940.446242582
0.08714285714285715,1916523.7906240374
0.08897959183673469,1034573.0542210808
0.09081632653061225,826839.3839533413
0.0926530612244898,916299.4916565318
0.09448979591836734,1470106.607170457
0.0963265306122449,6757553.294854487
0.09816326530612245,2506352.1830932805
0.1,1088653.398817307
