c,cond
0.01,190218.16797088453
0.01183673469387755,167970.668604075
0.013673469387755103,162938.7108045502
0.015510204081632653,159176.77640607924
0.017346938775510204,157148.1604485945
0.019183673469387756,157656.61161530303
0.02102040816326531,161092.3240705993
0.02285714285714286,167449.46254529926
0.02469387755102041,176523.2177381187
0.026530612244897958,204944.93868294783
0.02836734693877551,304485.3684556259
0.030204081632653063,631338.0465538958
0.032040816326530615,10122736.054687899
0.03387755102040817,595654.2595883855
0.03571428571428572,341778.48112804216
0.037551020408163265,285086.4518712668
0.03938775510204082,259959.02281618176
0.04122448979591837,234286.81683676218
0.04306122448979592,206264.4969722367
0.04489795918367347,178693.22436486813
0.046734693877551026,179349.7006491595
0.04857142857142858,195026.39424248805
0.05040816326530613,214752.59784324467
0.052244897959183675,240988.80145748003
0.05408163265306123,278117.3261345029
0.05591836734693878,334759.024821939
0.05775510204081633,430839.79057880555
0.059591836734693884,626022.0444005805
0.06142857142857144,1220192.4859486278
0.06326530612244897,142720170.93246624
0.06510204081632653,1142352.7608614059
0.06693877551020408,562430.682367935
0.06877551020408164,369407.27368925815
0.07061224489795918,273605.0214558954
0.07244897959183674,216710.2871905395
0.07428571428571429,179235.24715180093
0.07612244897959183,156020.1064795688
0.07795918367346939,185033.7725450711
0.07979591836734694,231074.69898491856
0.08163265306122448,314494.7414101821
0.08346938775510204,508129.17121210444
0.08530612244897959,1415157.2952051724
0.08714285714285715,1710596.6898455508
0.08897959183673469,531296.607947716
0.09081632653061225,316349.0761101935
0.0926530612244898,227461.43453791502
0.09448979591836734,272107.36328541266
0.0963265306122449,374624.2438765317
0.09816326530612245,611135.8533113986
0.1,1783396.1465042222
