c,cond
0.01,inf
0.01183673469387755,inf
0.013673469387755103,inf
0.015510204081632653,inf
0.017346938775510204,inf
0.019183673469387756,4.5459767507033264e+303
0.02102040816326531,1.6230508923066551e+254
0.02285714285714286,4.650807540544681e+219
0.02469387755102041,6.577653799536459e+186
0.026530612244897958,4.749986145978683e+161
0.02836734693877551,1.650267471467844e+141
0.030204081632653063,8.847738845648665e+124
0.032040816326530615,4.071945630925196e+113
0.03387755102040817,7.125271900215453e+102
0.03571428571428572,3.0601582814605773e+94
0.037551020408163265,6.760735266590436e+85
0.03938775510204082,9.436168416765463e+78
0.04122448979591837,5.4925158443107446e+72
0.04306122448979592,1.1315299655436047e+67
0.04489795918367347,1.973690818356376e+63
0.046734693877551026,1.728429265351716e+60
0.04857142857142858,3.933220331729347e+55
0.05040816326530613,3.058830328470775e+52
0.052244897959183675,4.3060560862873425e+48
0.05408163265306123,2.587059395783629e+46
0.05591836734693878,3.774384756479585e+44
0.05775510204081633,2.3972612687403666e+44
0.059591836734693884,2.0814439217706936e+41
0.06142857142857144,4.08676674548341e+38
0.06326530612244897,5.08096430072856e+36
0.06510204081632653,1.1153387315067852e+36
0.06693877551020408,1.7915438902972848e+35
0.06877551020408164,5.7898803033501256e+35
0.07061224489795918,4.0394043088290565e+31
0.07244897959183674,3.3767681927452264e+32
0.07428571428571429,1.1411150099710422e+30
0.07612244897959183,5.3904334969371175e+28
0.07795918367346939,2.7714638564880845e+28
0.07979591836734694,2.961988501996112e+27
0.08163265306122448,4.635319124136063e+27
0.08346938775510204,2.1219071420602303e+25
0.08530612244897959,6.782260786055067e+24
0.08714285714285715,4.943676547862311e+24
0.08897959183673469,5.112766682435702e+23
0.09081632653061225,1.4023808020411533e+23
0.0926530612244898,9.266453785569933e+22
0.09448979591836734,1.2222480117187274e+22
0.0963265306122449,3.9780128489124235e+21
0.09816326530612245,9.727571513727513e+20
0.1,1.9055725262598615e+21
